1.98176, 3.9474, 1.78382, 7.31605, 2.08751, 2.37347, 3.89326, 7.00793, 0.262084, 4.67531, 0.856534, 2.77945, 0.467024, 7.10443, 6.36859, 1.84862, 6.24361, 6.60384, 5.47466, 4.37931, 4.81121, 5.63073, 0.689992, 5.89389, 4.7641, 1.45143, 5.21141, 0.145669, 2.45568, 6.22156, 3.24399, 2.20132
1.99075, 3.9659, 1.79385, 7.34573, 2.07897, 2.35667, 3.87514, 7.01332, 0.249084, 4.64977, 0.822538, 2.78104, 0.443747, 7.13229, 6.37726, 1.85079, 6.26206, 6.58869, 5.48516, 4.35966, 4.79969, 5.6344, 0.70165, 5.89011, 4.75376, 1.47059, 5.22347, 0.149842, 2.46427, 6.19204, 3.27386, 2.19956
1.99868, 3.98162, 1.80364, 7.37224, 2.07069, 2.34093, 3.8585, 7.01957, 0.236315, 4.6265, 0.791701, 2.783, 0.423263, 7.15842, 6.3854, 1.85275, 6.27839, 6.57313, 5.49495, 4.34157, 4.78913, 5.6373, 0.713168, 5.88761, 4.74579, 1.48794, 5.23492, 0.15377, 2.47096, 6.16451, 3.29975, 2.19953
2.01005, 4.00325, 1.8198, 7.41128, 2.05712, 2.31616, 3.83291, 7.03173, 0.215194, 4.5918, 0.745266, 2.78652, 0.39375, 7.19965, 6.39833, 1.85573, 6.30226, 6.5458, 5.51024, 4.3138, 4.77293, 5.64085, 0.731811, 5.88548, 4.7369, 1.51398, 5.25321, 0.159803, 2.47937, 6.12167, 3.3361, 2.20287
2.01902, 4.01987, 1.83538, 7.44395, 2.04418, 2.2936, 3.81019, 7.04509, 0.195088, 4.56301, 0.705532, 2.7897, 0.369826, 7.23731, 6.41012, 1.8583, 6.32222, 6.51776, 5.52397, 4.28933, 4.75858, 5.64314, 0.748339, 5.88506, 4.73283, 1.53625, 5.27012, 0.164847, 2.48551, 6.08356, 3.36433, 2.20963
2.02595, 4.03275, 1.85037, 7.47152, 2.03185, 2.27281, 3.78975, 7.05909, 0.176076, 4.5394, 0.671633, 2.79239, 0.35019, 7.27192, 6.42064, 1.86028, 6.33939, 6.48938, 5.53635, 4.26762, 4.74564, 5.64458, 0.762383, 5.88574, 4.73237, 1.55553, 5.28587, 0.168804, 2.49054, 6.04956, 3.38624, 2.21902
2.03121, 4.04278, 1.86472, 7.4949, 2.02011, 2.25346, 3.77122, 7.07334, 0.158149, 4.52018, 0.642816, 2.79466, 0.333814, 7.30384, 6.42981, 1.86158, 6.35459, 6.46103, 5.54757, 4.24822, 4.73384, 5.64544, 0.773993, 5.88731, 4.73447, 1.57244, 5.3006, 0.171645, 2.49507, 6.01915, 3.40326, 2.23042
2.0351, 4.05059, 1.87835, 7.51472, 2.00899, 2.23526, 3.75434, 7.08758, 0.141295, 4.5047, 0.618344, 2.79663, 0.319894, 7.33331, 6.43775, 1.86216, 6.36836, 6.43304, 5.55773, 4.23082, 4.72297, 5.6459, 0.783491, 5.88963, 4.73828, 1.58745, 5.31443, 0.173388, 2.49941, 5.99185, 3.41652, 2.24336
2.03785, 4.05639, 1.89097, 7.53158, 1.99848, 2.21797, 3.73913, 7.10157, 0.125651, 4.4924, 0.597512, 2.79839, 0.307827, 7.36051, 6.44464, 1.86206, 6.38099, 6.40572, 5.56673, 4.21512, 4.7129, 5.64611, 0.791301, 5.8926, 4.74315, 1.6009, 5.32745, 0.174108, 2.50378, 5.9675, 3.42687, 2.25748
2.03964, 4.06029, 1.90231, 7.546, 1.9886, 2.20139, 3.7257, 7.11512, 0.111336, 4.48279, 0.579696, 2.79999, 0.297133, 7.38557, 6.45071, 1.86136, 6.39265, 6.3793, 5.57445, 4.20084, 4.70352, 5.64614, 0.797832, 5.89612, 4.7486, 1.61305, 5.33973, 0.173915, 2.50835, 5.94601, 3.43498, 2.27252
2.04063, 4.06249, 1.91222, 7.55844, 1.97934, 2.18533, 3.71407, 7.12812, 0.0983534, 4.47547, 0.564385, 2.80146, 0.287458, 7.40864, 6.45612, 1.86012, 6.40347, 6.35391, 5.58088, 4.18777, 4.69478, 5.64605, 0.803421, 5.90011, 4.75429, 1.6241, 5.35135, 0.172937, 2.51316, 5.92719, 3.44131, 2.28827
2.041, 4.06322, 1.9207, 7.56925, 1.97071, 2.16968, 3.70412, 7.14051, 0.086621, 4.47008, 0.551167, 2.80286, 0.278538, 7.42984, 6.46103, 1.8584, 6.41353, 6.32964, 5.58609, 4.17573, 4.68663, 5.64587, 0.808337, 5.90449, 4.75996, 1.63419, 5.36237, 0.171297, 2.51821, 5.91078, 3.44624, 2.30456
2.04063, 4.06196, 1.93162, 7.58398, 1.958, 2.14492, 3.69118, 7.15932, 0.0699371, 4.46471, 0.533369, 2.80504, 0.2652, 7.4606, 6.46815, 1.85471, 6.42838, 6.29271, 5.5922, 4.15803, 4.67453, 5.64545, 0.815407, 5.91228, 4.76872, 1.64876, 5.37912, 0.167547, 2.52686, 5.8885, 3.45193, 2.33187
2.0395, 4.05852, 1.93946, 7.59559, 1.94684, 2.12111, 3.68158, 7.17659, 0.0556862, 4.46264, 0.519188, 2.80725, 0.252787, 7.48732, 6.47456, 1.85008, 6.44158, 6.25876, 5.59586, 4.14218, 4.66369, 5.64495, 0.821914, 5.9207, 4.77652, 1.66144, 5.39462, 0.162824, 2.53593, 5.87056, 3.45552, 2.35988
2.03795, 4.05362, 1.94473, 7.60398, 1.93716, 2.0988, 3.67466, 7.19246, 0.0433239, 4.46306, 0.507866, 2.80966, 0.240966, 7.51051, 6.48051, 1.84471, 6.4533, 6.22764, 5.59754, 4.1278, 4.65398, 5.6444, 0.828255, 5.92958, 4.78308, 1.67252, 5.40902, 0.157491, 2.54528, 5.85589, 3.45762, 2.38828
2.03507, 4.04402, 1.94895, 7.61133, 1.9244, 2.06615, 3.66775, 7.21556, 0.0270203, 4.46644, 0.494246, 2.81408, 0.222615, 7.5418, 6.48949, 1.83479, 6.4689, 6.18383, 5.59708, 4.10698, 4.64027, 5.64344, 0.838588, 5.94455, 4.791, 1.68758, 5.43025, 0.148318, 2.56079, 5.83708, 3.45882, 2.43447
